HypDistrib_Equal	[0.000228,0.000228]
HypDistrib_Unequal	[1.2e-05,1.2e-05]
HypoxiaInO2_Mild	[0.0008928,0.0008928]
HypoxiaInO2_Moderate	[4.8e-05,4.8e-05]
HypoxiaInO2_Severe	[1.9200000000000003e-05,1.9200000000000003e-05]
CO2_Normal	[0.009600000000000001,0.009600000000000001]
CO2_Low	[0.0012000000000000001,0.0012000000000000001]
CO2_High	[0.0012000000000000001,0.0012000000000000001]
ChestXray_Normal	[0.000648,0.000648]
ChestXray_Oligaemic	[2.16e-05,2.16e-05]
ChestXray_Plethoric	[2.16e-05,2.16e-05]
ChestXray_Grd_Glass	[7.2000000000000005e-06,7.2000000000000005e-06]
ChestXray_Asy/Patch	[2.16e-05,2.16e-05]
Grunting_yes	[0.000192,0.000192]
Grunting_no	[0.000768,0.000768]
LVHreport_yes	[0.0018,0.0018]
LVHreport_no	[0.0002,0.0002]
LowerBodyO2_<5	[2.0355840000000002e-07,2.0355840000000002e-07]
LowerBodyO2_5-12	[6.106752000000001e-07,6.106752000000001e-07]
LowerBodyO2_12+	[1.2213504000000001e-06,1.2213504000000001e-06]
RUQO2_<5	[8.928000000000001e-05,8.928000000000001e-05]
RUQO2_5-12	[0.00026784000000000004,0.00026784000000000004]
RUQO2_12+	[0.0005356800000000001,0.0005356800000000001]
CO2Report_<7.5	[0.00864,0.00864]
CO2Report_>=7.5	[0.0009599999999999999,0.0009599999999999999]
XrayReport_Normal	[0.0005184,0.0005184]
XrayReport_Oligaemic	[3.888000000000001e-05,3.888000000000001e-05]
XrayReport_Plethoric	[3.888000000000001e-05,3.888000000000001e-05]
XrayReport_Grd_Glass	[1.2960000000000001e-05,1.2960000000000001e-05]
XrayReport_Asy/Patchy	[3.888000000000001e-05,3.888000000000001e-05]
Disease_PFC	[0.020000000000000004,0.020000000000000004]
Disease_TGA	[0.03,0.03]
Disease_Fallot	[0.025,0.025]
Disease_PAIVS	[0.015,0.015]
Disease_TAPVD	[0.005000000000000001,0.005000000000000001]
Disease_Lung	[0.005000000000000001,0.005000000000000001]
GruntingReport_yes	[0.00015360000000000002,0.00015360000000000002]
GruntingReport_no	[3.8400000000000005e-05,3.8400000000000005e-05]
Age_0-3_days	[0.00152,0.00152]
Age_4-10_days	[4.8e-05,4.8e-05]
Age_11-30_days	[3.2000000000000005e-05,3.2000000000000005e-05]
LVH_yes	[0.002,0.002]
LVH_no	[0.018,0.018]
DuctFlow_Lt_to_Rt	[0.003,0.003]
DuctFlow_None	[0.001,0.001]
DuctFlow_Rt_to_Lt	[0.016,0.016]
CardiacMixing_None	[0.008,0.008]
CardiacMixing_Mild	[0.0086,0.0086]
CardiacMixing_Complete	[0.003,0.003]
CardiacMixing_Transp.	[0.0004,0.0004]
LungParench_Normal	[0.012,0.012]
LungParench_Congested	[0.002,0.002]
LungParench_Abnormal	[0.006,0.006]
LungFlow_Normal	[0.006,0.006]
LungFlow_Low	[0.013000000000000001,0.013000000000000001]
LungFlow_High	[0.001,0.001]
Sick_yes	[0.008,0.008]
Sick_no	[0.012,0.012]
