KEY_SENSITIVE(3)	[0.0,0.013731384133074197]
KEY_SENSITIVE(4)	[0.25738671742567093,0.257386717425671]
KEY_SENSITIVE(19)	[0.0027978649229679457,0.0028139732713122227]
KEY_SENSITIVE(20)	[0.001008427779920922,0.0010515100790500103]
KEY_SENSITIVE(21)	[0.0,0.00023100824152601446]
KEY_SENSITIVE(29)	[0.0,0.00011786818378324659]
KEY_SENSITIVE(30)	[0.0,1.887849462015699e-05]
KEY_SENSITIVE(31)	[0.0,5.365619050835672e-08]
assign(3,15)	[0.013633101195999999,0.013633101195999999]
assign(4,17)	[0.39067864069,0.39067864069]
assign(19,4)	[0.0562253993,0.05622539929999999]
assign(19,17)	[0.018872933435935157,0.018872933435935157]
assign(20,4)	[0.011018965684197385,0.011124867436050253]
assign(20,17)	[0.006864219548223447,0.006928768447218016]
assign(20,19)	[0.22930597102045502,0.22930597102045497]
assign(21,17)	[0.0,0.0015397192302797685]
assign(21,19)	[0.0,0.0949543650288988]
assign(21,20)	[0.20227925602545302,0.20227925602545302]
assign(29,3)	[0.04426572092,0.04426572092]
assign(29,15)	[0.0005185007534729862,0.0005185007534729861]
assign(30,3)	[0.0036801686581408926,0.0036801686581408926]
assign(30,15)	[6.999191338926223e-05,9.089559187587697e-05]
assign(30,29)	[0.0967638164433184,0.0967638164433184]
assign(31,15)	[0.0,4.7206590131623644e-07]
assign(31,29)	[0.0,0.00013245734953611096]
assign(31,30)	[0.00028001965153869003,0.00028001965153869003]
equal_assign(3,15)	[0.0030991447293807002,0.0030991447293807]
equal_assign(4,17)	[0.08881102199485426,0.08881102199485426]
equal_assign(19,17)	[0.004290289593323959,0.0042902895933239595]
equal_assign(20,17)	[0.0015614732730175626,0.001574167375650822]
equal_assign(21,17)	[0.0,0.0003500166740233483]
equal_assign(29,15)	[0.00011786818378324657,0.00011786818378324656]
equal_assign(30,15)	[1.5891135326198903e-05,2.0122638546523727e-05]
equal_assign(31,15)	[0.0,1.0731238101671345e-07]
load_assign(20,19)	[0.326022039,0.32602203899999993]
load_assign(21,20)	[0.28759606740000004,0.28759606740000004]
load_assign(30,29)	[0.137576603862,0.137576603862]
load_assign(31,30)	[0.000398125602,0.000398125602]
